Fecha,Temporada,Equipo1,Equipo2
14/10/1979,1979-1980,Real Madrid,Zaragoza
14/10/1979,1979-1980,Salamanca,AD Almería
14/10/1979,1979-1980,Sevilla,Atlético de Madrid
20/10/1979,1979-1980,Barcelona,Hércules
20/10/1979,1979-1980,Las Palmas,Sevilla
20/10/1979,1979-1980,Valencia,Burgos
21/10/1979,1979-1980,AD Almería,Real Sociedad
21/10/1979,1979-1980,Athletic Club,CD Málaga
21/10/1979,1979-1980,Atlético de Madrid,Español
21/10/1979,1979-1980,Betis,Real Madrid
21/10/1979,1979-1980,Rayo Vallecano,Sporting de Gijón
21/10/1979,1979-1980,Zaragoza,Salamanca
28/10/1979,1979-1980,Atlético de Madrid,Las Palmas
28/10/1979,1979-1980,Burgos,Rayo Vallecano
28/10/1979,1979-1980,Español,Real Madrid
28/10/1979,1979-1980,Sporting de Gijón,Barcelona
28/10/1979,1979-1980,Hércules,AD Almería
28/10/1979,1979-1980,CD Málaga,Valencia
28/10/1979,1979-1980,Real Sociedad,Zaragoza
28/10/1979,1979-1980,Salamanca,Betis
28/10/1979,1979-1980,Sevilla,Athletic Club
3/11/1979,1979-1980,Barcelona,Burgos
3/11/1979,1979-1980,Las Palmas,Español
3/11/1979,1979-1980,Real Madrid,Salamanca
4/11/1979,1979-1980,AD Almería,Sporting de Gijón
4/11/1979,1979-1980,Athletic Club,Atlético de Madrid
4/11/1979,1979-1980,Betis,Real Sociedad
4/11/1979,1979-1980,Rayo Vallecano,CD Málaga
4/11/1979,1979-1980,Valencia,Sevilla
4/11/1979,1979-1980,Zaragoza,Hércules
10/11/1979,1979-1980,Las Palmas,Athletic Club
11/11/1979,1979-1980,Atlético de Madrid,Valencia
11/11/1979,1979-1980,Burgos,AD Almería
11/11/1979,1979-1980,Español,Salamanca
11/11/1979,1979-1980,Sporting de Gijón,Zaragoza
11/11/1979,1979-1980,Hércules,Betis
11/11/1979,1979-1980,CD Málaga,Barcelona
11/11/1979,1979-1980,Real Sociedad,Real Madrid
11/11/1979,1979-1980,Sevilla,Rayo Vallecano
18/11/1979,1979-1980,AD Almería,CD Málaga
18/11/1979,1979-1980,Athletic Club,Español
18/11/1979,1979-1980,Barcelona,Sevilla
18/11/1979,1979-1980,Betis,Sporting de Gijón
18/11/1979,1979-1980,Rayo Vallecano,Atlético de Madrid
18/11/1979,1979-1980,Real Madrid,Hércules
18/11/1979,1979-1980,Salamanca,Real Sociedad
18/11/1979,1979-1980,Valencia,Las Palmas
18/11/1979,1979-1980,Zaragoza,Burgos
25/11/1979,1979-1980,Athletic Club,Valencia
25/11/1979,1979-1980,Atlético de Madrid,Barcelona
25/11/1979,1979-1980,Burgos,Betis
25/11/1979,1979-1980,Español,Real Sociedad
25/11/1979,1979-1980,Sporting de Gijón,Real Madrid
25/11/1979,1979-1980,Hércules,Salamanca
25/11/1979,1979-1980,Las Palmas,Rayo Vallecano
25/11/1979,1979-1980,CD Málaga,Zaragoza
25/11/1979,1979-1980,Sevilla,AD Almería
2/12/1979,1979-1980,AD Almería,Atlético de Madrid
2/12/1979,1979-1980,Barcelona,Las Palmas
2/12/1979,1979-1980,Betis,CD Málaga
2/12/1979,1979-1980,Real Sociedad,Hércules
2/12/1979,1979-1980,Rayo Vallecano,Athletic Club
2/12/1979,1979-1980,Real Madrid,Burgos
2/12/1979,1979-1980,Salamanca,Sporting de Gijón
2/12/1979,1979-1980,Valencia,Español
2/12/1979,1979-1980,Zaragoza,Sevilla
15/12/1979,1979-1980,Las Palmas,AD Almería
16/12/1979,1979-1980,Athletic Club,Barcelona
16/12/1979,1979-1980,Atlético de Madrid,Zaragoza
16/12/1979,1979-1980,Burgos,Salamanca
16/12/1979,1979-1980,Español,Hércules
16/12/1979,1979-1980,Sporting de Gijón,Real Sociedad
16/12/1979,1979-1980,CD Málaga,Real Madrid
16/12/1979,1979-1980,Sevilla,Betis
16/12/1979,1979-1980,Valencia,Rayo Vallecano
30/12/1979,1979-1980,AD Almería,Athletic Club
30/12/1979,1979-1980,Barcelona,Valencia
30/12/1979,1979-1980,Betis,Atlético de Madrid
30/12/1979,1979-1980,Hércules,Sporting de Gijón
30/12/1979,1979-1980,Real Sociedad,Burgos
30/12/1979,1979-1980,Rayo Vallecano,Español
30/12/1979,1979-1980,Real Madrid,Sevilla
30/12/1979,1979-1980,Salamanca,CD Málaga
30/12/1979,1979-1980,Zaragoza,Las Palmas
6/01/1980,1979-1980,Athletic Club,Zaragoza
6/01/1980,1979-1980,Atlético de Madrid,Real Madrid
6/01/1980,1979-1980,Burgos,Hércules
6/01/1980,1979-1980,Español,Sporting de Gijón
6/01/1980,1979-1980,Las Palmas,Betis
6/01/1980,1979-1980,CD Málaga,Real Sociedad
6/01/1980,1979-1980,Rayo Vallecano,Barcelona
6/01/1980,1979-1980,Sevilla,Salamanca
6/01/1980,1979-1980,Valencia,AD Almería
13/01/1980,1979-1980,AD Almería,Rayo Vallecano
13/01/1980,1979-1980,Betis,Athletic Club
13/01/1980,1979-1980,Español,Barcelona
13/01/1980,1979-1980,Sporting de Gijón,Burgos
13/01/1980,1979-1980,Hércules,CD Málaga
13/01/1980,1979-1980,Real Sociedad,Sevilla
13/01/1980,1979-1980,Real Madrid,Las Palmas
13/01/1980,1979-1980,Salamanca,Atlético de Madrid
13/01/1980,1979-1980,Zaragoza,Valencia
20/01/1980,1979-1980,Athletic Club,Real Madrid
20/01/1980,1979-1980,Atlético de Madrid,Real Sociedad
20/01/1980,1979-1980,Barcelona,AD Almería
20/01/1980,1979-1980,Burgos,Español
20/01/1980,1979-1980,Las Palmas,Salamanca
20/01/1980,1979-1980,CD Málaga,Sporting de Gijón
20/01/1980,1979-1980,Rayo Vallecano,Zaragoza
20/01/1980,1979-1980,Sevilla,Hércules
20/01/1980,1979-1980,Valencia,Betis
26/01/1980,1979-1980,Sevilla,Sporting de Gijón
27/01/1980,1979-1980,AD Almería,Español
27/01/1980,1979-1980,Athletic Club,Salamanca
27/01/1980,1979-1980,Atlético de Madrid,Hércules
27/01/1980,1979-1980,Barcelona,Zaragoza
27/01/1980,1979-1980,Las Palmas,Real Sociedad
27/01/1980,1979-1980,CD Málaga,Burgos
27/01/1980,1979-1980,Rayo Vallecano,Betis
27/01/1980,1979-1980,Valencia,Real Madrid
3/02/1980,1979-1980,Betis,Barcelona
3/02/1980,1979-1980,Burgos,Sevilla
3/02/1980,1979-1980,Español,CD Málaga
3/02/1980,1979-1980,Sporting de Gijón,Atlético de Madrid
3/02/1980,1979-1980,Hércules,Las Palmas
3/02/1980,1979-1980,Real Sociedad,Athletic Club
3/02/1980,1979-1980,Real Madrid,Rayo Vallecano
3/02/1980,1979-1980,Salamanca,Valencia
3/02/1980,1979-1980,Zaragoza,AD Almería
10/02/1980,1979-1980,AD Almería,Betis
10/02/1980,1979-1980,Athletic Club,Hércules
10/02/1980,1979-1980,Atlético de Madrid,Burgos
10/02/1980,1979-1980,Barcelona,Real Madrid
10/02/1980,1979-1980,Las Palmas,Sporting de Gijón
10/02/1980,1979-1980,Rayo Vallecano,Salamanca
10/02/1980,1979-1980,Sevilla,CD Málaga
10/02/1980,1979-1980,Valencia,Real Sociedad
10/02/1980,1979-1980,Zaragoza,Español
17/02/1980,1979-1980,Betis,Zaragoza
17/02/1980,1979-1980,Burgos,Las Palmas
17/02/1980,1979-1980,Español,Sevilla
17/02/1980,1979-1980,Sporting de Gijón,Athletic Club
17/02/1980,1979-1980,Hércules,Valencia
17/02/1980,1979-1980,CD Málaga,Atlético de Madrid
17/02/1980,1979-1980,Real Sociedad,Rayo Vallecano
17/02/1980,1979-1980,Real Madrid,AD Almería
17/02/1980,1979-1980,Salamanca,Barcelona
23/02/1980,1979-1980,Barcelona,Real Sociedad
23/02/1980,1979-1980,Betis,Español
24/02/1980,1979-1980,AD Almería,Salamanca
24/02/1980,1979-1980,Athletic Club,Burgos
24/02/1980,1979-1980,Atlético de Madrid,Sevilla
24/02/1980,1979-1980,Las Palmas,CD Málaga
24/02/1980,1979-1980,Rayo Vallecano,Hércules
24/02/1980,1979-1980,Valencia,Sporting de Gijón
24/02/1980,1979-1980,Zaragoza,Real Madrid
1/03/1980,1979-1980,Real Madrid,Betis
2/03/1980,1979-1980,Burgos,Valencia
2/03/1980,1979-1980,Español,Atlético de Madrid
2/03/1980,1979-1980,Sporting de Gijón,Rayo Vallecano
2/03/1980,1979-1980,Hércules,Barcelona
2/03/1980,1979-1980,CD Málaga,Athletic Club
2/03/1980,1979-1980,Real Sociedad,AD Almería
2/03/1980,1979-1980,Salamanca,Zaragoza
2/03/1980,1979-1980,Sevilla,Las Palmas
8/03/1980,1979-1980,Athletic Club,Sevilla
8/03/1980,1979-1980,Betis,Salamanca
8/03/1980,1979-1980,Las Palmas,Atlético de Madrid
9/03/1980,1979-1980,AD Almería,Hércules
9/03/1980,1979-1980,Barcelona,Sporting de Gijón
9/03/1980,1979-1980,Rayo Vallecano,Burgos
9/03/1980,1979-1980,Real Madrid,Español
9/03/1980,1979-1980,Valencia,CD Málaga
9/03/1980,1979-1980,Zaragoza,Real Sociedad
16/03/1980,1979-1980,Atlético de Madrid,Athletic Club
16/03/1980,1979-1980,Burgos,Barcelona
16/03/1980,1979-1980,Español,Las Palmas
16/03/1980,1979-1980,Sporting de Gijón,AD Almería
16/03/1980,1979-1980,Hércules,Zaragoza
16/03/1980,1979-1980,CD Málaga,Rayo Vallecano
16/03/1980,1979-1980,Real Sociedad,Betis
16/03/1980,1979-1980,Salamanca,Real Madrid
16/03/1980,1979-1980,Sevilla,Valencia
23/03/1980,1979-1980,AD Almería,Burgos
23/03/1980,1979-1980,Athletic Club,Las Palmas
23/03/1980,1979-1980,Barcelona,CD Málaga
23/03/1980,1979-1980,Betis,Hércules
23/03/1980,1979-1980,Rayo Vallecano,Sevilla
23/03/1980,1979-1980,Real Madrid,Real Sociedad
23/03/1980,1979-1980,Salamanca,Español
23/03/1980,1979-1980,Valencia,Atlético de Madrid
23/03/1980,1979-1980,Zaragoza,Sporting de Gijón
29/03/1980,1979-1980,Sporting de Gijón,Betis
29/03/1980,1979-1980,Las Palmas,Valencia
30/03/1980,1979-1980,Atlético de Madrid,Rayo Vallecano
30/03/1980,1979-1980,Burgos,Zaragoza
30/03/1980,1979-1980,Español,Athletic Club
30/03/1980,1979-1980,Hércules,Real Madrid
30/03/1980,1979-1980,Real Sociedad,Salamanca
30/03/1980,1979-1980,Sevilla,Barcelona
5/04/1980,1979-1980,Real Madrid,Sporting de Gijón
5/04/1980,1979-1980,Valencia,Athletic Club
6/04/1980,1979-1980,AD Almería,Sevilla
6/04/1980,1979-1980,Barcelona,Atlético de Madrid
6/04/1980,1979-1980,Betis,Burgos
6/04/1980,1979-1980,Real Sociedad,Español
6/04/1980,1979-1980,Rayo Vallecano,Las Palmas
6/04/1980,1979-1980,Salamanca,Hércules
6/04/1980,1979-1980,Zaragoza,CD Málaga
12/04/1980,1979-1980,Las Palmas,Barcelona
13/04/1980,1979-1980,Athletic Club,Rayo Vallecano
13/04/1980,1979-1980,Atlético de Madrid,AD Almería
13/04/1980,1979-1980,Burgos,Real Madrid
13/04/1980,1979-1980,Español,Valencia
13/04/1980,1979-1980,Sporting de Gijón,Salamanca
13/04/1980,1979-1980,Hércules,Real Sociedad
13/04/1980,1979-1980,CD Málaga,Betis
13/04/1980,1979-1980,Sevilla,Zaragoza
19/04/1980,1979-1980,Real Madrid,CD Málaga
20/04/1980,1979-1980,AD Almería,Las Palmas
20/04/1980,1979-1980,Barcelona,Athletic Club
20/04/1980,1979-1980,Betis,Sevilla
20/04/1980,1979-1980,Hércules,Español
20/04/1980,1979-1980,Real Sociedad,Sporting de Gijón
20/04/1980,1979-1980,Rayo Vallecano,Valencia
20/04/1980,1979-1980,Salamanca,Burgos
20/04/1980,1979-1980,Zaragoza,Atlético de Madrid
26/04/1980,1979-1980,Sporting de Gijón,Hércules
26/04/1980,1979-1980,Las Palmas,Zaragoza
27/04/1980,1979-1980,Athletic Club,AD Almería
27/04/1980,1979-1980,Atlético de Madrid,Betis
27/04/1980,1979-1980,Burgos,Real Sociedad
27/04/1980,1979-1980,Español,Rayo Vallecano
27/04/1980,1979-1980,CD Málaga,Salamanca
27/04/1980,1979-1980,Sevilla,Real Madrid
27/04/1980,1979-1980,Valencia,Barcelona
4/05/1980,1979-1980,AD Almería,Valencia
4/05/1980,1979-1980,Barcelona,Rayo Vallecano
4/05/1980,1979-1980,Betis,Las Palmas
4/05/1980,1979-1980,Sporting de Gijón,Español
4/05/1980,1979-1980,Hércules,Burgos
4/05/1980,1979-1980,Real Sociedad,CD Málaga
4/05/1980,1979-1980,Real Madrid,Atlético de Madrid
4/05/1980,1979-1980,Salamanca,Sevilla
4/05/1980,1979-1980,Zaragoza,Athletic Club
10/05/1980,1979-1980,Valencia,Zaragoza
11/05/1980,1979-1980,Athletic Club,Betis
11/05/1980,1979-1980,Atlético de Madrid,Salamanca
11/05/1980,1979-1980,Barcelona,Español
11/05/1980,1979-1980,Burgos,Sporting de Gijón
11/05/1980,1979-1980,Las Palmas,Real Madrid
11/05/1980,1979-1980,CD Málaga,Hércules
11/05/1980,1979-1980,Rayo Vallecano,AD Almería
11/05/1980,1979-1980,Sevilla,Real Sociedad
6/09/1980,1980-1981,Español,Hércules
6/09/1980,1980-1981,Sporting de Gijón,Betis
6/09/1980,1980-1981,Sevilla,Salamanca
6/09/1980,1980-1981,Valencia,Real Sociedad
7/09/1980,1980-1981,AD Almería,Real Madrid
7/09/1980,1980-1981,Athletic Club,Zaragoza
7/09/1980,1980-1981,Atlético de Madrid,Valladolid
7/09/1980,1980-1981,Murcia,Barcelona
7/09/1980,1980-1981,Osasuna,Las Palmas
13/09/1980,1980-1981,Barcelona,Español
13/09/1980,1980-1981,Las Palmas,Atlético de Madrid
13/09/1980,1980-1981,Real Sociedad,Osasuna
13/09/1980,1980-1981,Salamanca,Murcia
13/09/1980,1980-1981,Valencia,Betis
14/09/1980,1980-1981,Hércules,Sporting de Gijón
14/09/1980,1980-1981,Real Madrid,Athletic Club
14/09/1980,1980-1981,Valladolid,AD Almería
14/09/1980,1980-1981,Zaragoza,Sevilla
20/09/1980,1980-1981,Español,Salamanca
21/09/1980,1980-1981,Athletic Club,Valladolid
21/09/1980,1980-1981,Atlético de Madrid,AD Almería
21/09/1980,1980-1981,Sporting de Gijón,Barcelona
21/09/1980,1980-1981,Las Palmas,Real Sociedad
21/09/1980,1980-1981,Murcia,Zaragoza
21/09/1980,1980-1981,Osasuna,Betis
21/09/1980,1980-1981,Sevilla,Real Madrid
21/09/1980,1980-1981,Valencia,Hércules
27/09/1980,1980-1981,Barcelona,Valencia
27/09/1980,1980-1981,Real Sociedad,Atlético de Madrid
28/09/1980,1980-1981,AD Almería,Athletic Club
28/09/1980,1980-1981,Betis,Las Palmas
28/09/1980,1980-1981,Hércules,Osasuna
28/09/1980,1980-1981,Real Madrid,Murcia
28/09/1980,1980-1981,Salamanca,Sporting de Gijón
28/09/1980,1980-1981,Valladolid,Sevilla
28/09/1980,1980-1981,Zaragoza,Español
4/10/1980,1980-1981,Las Palmas,Hércules
5/10/1980,1980-1981,Atlético de Madrid,Athletic Club
5/10/1980,1980-1981,Español,Real Madrid
5/10/1980,1980-1981,Sporting de Gijón,Zaragoza
5/10/1980,1980-1981,Murcia,Valladolid
5/10/1980,1980-1981,Osasuna,Barcelona
5/10/1980,1980-1981,Real Sociedad,Betis
5/10/1980,1980-1981,Sevilla,AD Almería
5/10/1980,1980-1981,Valencia,Salamanca
11/10/1980,1980-1981,Athletic Club,Sevilla
12/10/1980,1980-1981,AD Almería,Murcia
12/10/1980,1980-1981,Barcelona,Las Palmas
12/10/1980,1980-1981,Betis,Atlético de Madrid
12/10/1980,1980-1981,Hércules,Real Sociedad
12/10/1980,1980-1981,Real Madrid,Sporting de Gijón
12/10/1980,1980-1981,Salamanca,Osasuna
12/10/1980,1980-1981,Valladolid,Español
12/10/1980,1980-1981,Zaragoza,Valencia
18/10/1980,1980-1981,Las Palmas,Salamanca
18/10/1980,1980-1981,Valencia,Real Madrid
19/10/1980,1980-1981,Atlético de Madrid,Sevilla
19/10/1980,1980-1981,Betis,Hércules
19/10/1980,1980-1981,Español,AD Almería
19/10/1980,1980-1981,Sporting de Gijón,Valladolid
19/10/1980,1980-1981,Murcia,Athletic Club
19/10/1980,1980-1981,Osasuna,Zaragoza
19/10/1980,1980-1981,Real Sociedad,Barcelona
26/10/1980,1980-1981,AD Almería,Sporting de Gijón
26/10/1980,1980-1981,Athletic Club,Español
26/10/1980,1980-1981,Barcelona,Betis
26/10/1980,1980-1981,Hércules,Atlético de Madrid
26/10/1980,1980-1981,Real Madrid,Osasuna
26/10/1980,1980-1981,Salamanca,Real Sociedad
26/10/1980,1980-1981,Sevilla,Murcia
26/10/1980,1980-1981,Valladolid,Valencia
26/10/1980,1980-1981,Zaragoza,Las Palmas
1/11/1980,1980-1981,Las Palmas,Real Madrid
1/11/1980,1980-1981,Real Sociedad,Zaragoza
1/11/1980,1980-1981,Valencia,AD Almería
2/11/1980,1980-1981,Atlético de Madrid,Murcia
2/11/1980,1980-1981,Betis,Salamanca
2/11/1980,1980-1981,Español,Sevilla
2/11/1980,1980-1981,Sporting de Gijón,Athletic Club
2/11/1980,1980-1981,Hércules,Barcelona
2/11/1980,1980-1981,Osasuna,Valladolid
9/11/1980,1980-1981,AD Almería,Osasuna
9/11/1980,1980-1981,Athletic Club,Valencia
9/11/1980,1980-1981,Barcelona,Atlético de Madrid
9/11/1980,1980-1981,Murcia,Español
9/11/1980,1980-1981,Real Madrid,Real Sociedad
9/11/1980,1980-1981,Salamanca,Hércules
9/11/1980,1980-1981,Sevilla,Sporting de Gijón
9/11/1980,1980-1981,Valladolid,Las Palmas
9/11/1980,1980-1981,Zaragoza,Betis
15/11/1980,1980-1981,Las Palmas,AD Almería
16/11/1980,1980-1981,Atlético de Madrid,Español
16/11/1980,1980-1981,Barcelona,Salamanca
16/11/1980,1980-1981,Betis,Real Madrid
16/11/1980,1980-1981,Sporting de Gijón,Murcia
16/11/1980,1980-1981,Hércules,Zaragoza
16/11/1980,1980-1981,Osasuna,Athletic Club
16/11/1980,1980-1981,Real Sociedad,Valladolid
16/11/1980,1980-1981,Valencia,Sevilla
23/11/1980,1980-1981,AD Almería,Real Sociedad
23/11/1980,1980-1981,Athletic Club,Las Palmas
23/11/1980,1980-1981,Español,Sporting de Gijón
23/11/1980,1980-1981,Murcia,Valencia
23/11/1980,1980-1981,Real Madrid,Hércules
23/11/1980,1980-1981,Salamanca,Atlético de Madrid
23/11/1980,1980-1981,Sevilla,Osasuna
23/11/1980,1980-1981,Valladolid,Betis
23/11/1980,1980-1981,Zaragoza,Barcelona
29/11/1980,1980-1981,Las Palmas,Sevilla
30/11/1980,1980-1981,Atlético de Madrid,Sporting de Gijón
30/11/1980,1980-1981,Barcelona,Real Madrid
30/11/1980,1980-1981,Betis,AD Almería
30/11/1980,1980-1981,Hércules,Valladolid
30/11/1980,1980-1981,Real Sociedad,Athletic Club
30/11/1980,1980-1981,Salamanca,Zaragoza
30/11/1980,1980-1981,Valencia,Español
17/12/1980,1980-1981,Osasuna,Murcia
7/12/1980,1980-1981,AD Almería,Hércules
7/12/1980,1980-1981,Athletic Club,Betis
7/12/1980,1980-1981,Español,Osasuna
7/12/1980,1980-1981,Sporting de Gijón,Valencia
7/12/1980,1980-1981,Murcia,Las Palmas
7/12/1980,1980-1981,Real Madrid,Salamanca
7/12/1980,1980-1981,Sevilla,Real Sociedad
7/12/1980,1980-1981,Valladolid,Barcelona
7/12/1980,1980-1981,Zaragoza,Atlético de Madrid
13/12/1980,1980-1981,Barcelona,AD Almería
13/12/1980,1980-1981,Las Palmas,Español
14/12/1980,1980-1981,Atlético de Madrid,Valencia
14/12/1980,1980-1981,Betis,Sevilla
14/12/1980,1980-1981,Hércules,Athletic Club
14/12/1980,1980-1981,Osasuna,Sporting de Gijón
14/12/1980,1980-1981,Real Sociedad,Murcia
14/12/1980,1980-1981,Salamanca,Valladolid
14/12/1980,1980-1981,Zaragoza,Real Madrid
21/12/1980,1980-1981,AD Almería,Salamanca
21/12/1980,1980-1981,Athletic Club,Barcelona
21/12/1980,1980-1981,Atlético de Madrid,Real Madrid
21/12/1980,1980-1981,Español,Real Sociedad
21/12/1980,1980-1981,Sporting de Gijón,Las Palmas
21/12/1980,1980-1981,Murcia,Betis
21/12/1980,1980-1981,Sevilla,Hércules
21/12/1980,1980-1981,Valencia,Osasuna
21/12/1980,1980-1981,Valladolid,Zaragoza
27/12/1980,1980-1981,Las Palmas,Valencia
28/12/1980,1980-1981,Barcelona,Sevilla
28/12/1980,1980-1981,Betis,Español
28/12/1980,1980-1981,Hércules,Murcia
28/12/1980,1980-1981,Osasuna,Atlético de Madrid
28/12/1980,1980-1981,Real Sociedad,Sporting de Gijón
28/12/1980,1980-1981,Real Madrid,Valladolid
28/12/1980,1980-1981,Salamanca,Athletic Club
28/12/1980,1980-1981,Zaragoza,AD Almería
3/01/1981,1980-1981,Las Palmas,Osasuna
4/01/1981,1980-1981,Barcelona,Murcia
4/01/1981,1980-1981,Betis,Sporting de Gijón
4/01/1981,1980-1981,Hércules,Español
4/01/1981,1980-1981,Real Sociedad,Valencia
4/01/1981,1980-1981,Real Madrid,AD Almería
4/01/1981,1980-1981,Salamanca,Sevilla
4/01/1981,1980-1981,Valladolid,Atlético de Madrid
4/01/1981,1980-1981,Zaragoza,Athletic Club
11/01/1981,1980-1981,AD Almería,Valladolid
11/01/1981,1980-1981,Athletic Club,Real Madrid
11/01/1981,1980-1981,Atlético de Madrid,Las Palmas
11/01/1981,1980-1981,Betis,Valencia
11/01/1981,1980-1981,Español,Barcelona
11/01/1981,1980-1981,Sporting de Gijón,Hércules
11/01/1981,1980-1981,Murcia,Salamanca
11/01/1981,1980-1981,Osasuna,Real Sociedad
11/01/1981,1980-1981,Sevilla,Zaragoza
17/01/1981,1980-1981,Real Sociedad,Las Palmas
18/01/1981,1980-1981,AD Almería,Atlético de Madrid
18/01/1981,1980-1981,Barcelona,Sporting de Gijón
18/01/1981,1980-1981,Betis,Osasuna
18/01/1981,1980-1981,Hércules,Valencia
18/01/1981,1980-1981,Real Madrid,Sevilla
18/01/1981,1980-1981,Salamanca,Español
18/01/1981,1980-1981,Valladolid,Athletic Club
18/01/1981,1980-1981,Zaragoza,Murcia
24/01/1981,1980-1981,Las Palmas,Betis
25/01/1981,1980-1981,Athletic Club,AD Almería
25/01/1981,1980-1981,Atlético de Madrid,Real Sociedad
25/01/1981,1980-1981,Español,Zaragoza
25/01/1981,1980-1981,Sporting de Gijón,Salamanca
25/01/1981,1980-1981,Murcia,Real Madrid
25/01/1981,1980-1981,Osasuna,Hércules
25/01/1981,1980-1981,Sevilla,Valladolid
25/01/1981,1980-1981,Valencia,Barcelona
1/02/1981,1980-1981,AD Almería,Sevilla
1/02/1981,1980-1981,Athletic Club,Atlético de Madrid
1/02/1981,1980-1981,Barcelona,Osasuna
1/02/1981,1980-1981,Betis,Real Sociedad
1/02/1981,1980-1981,Hércules,Las Palmas
1/02/1981,1980-1981,Real Madrid,Español
1/02/1981,1980-1981,Salamanca,Valencia
1/02/1981,1980-1981,Valladolid,Murcia
1/02/1981,1980-1981,Zaragoza,Sporting de Gijón
7/02/1981,1980-1981,Las Palmas,Barcelona
8/02/1981,1980-1981,Atlético de Madrid,Betis
8/02/1981,1980-1981,Español,Valladolid
8/02/1981,1980-1981,Sporting de Gijón,Real Madrid
8/02/1981,1980-1981,Murcia,AD Almería
8/02/1981,1980-1981,Osasuna,Salamanca
8/02/1981,1980-1981,Real Sociedad,Hércules
8/02/1981,1980-1981,Sevilla,Athletic Club
8/02/1981,1980-1981,Valencia,Zaragoza
15/02/1981,1980-1981,AD Almería,Español
15/02/1981,1980-1981,Athletic Club,Murcia
15/02/1981,1980-1981,Barcelona,Real Sociedad
15/02/1981,1980-1981,Hércules,Betis
15/02/1981,1980-1981,Real Madrid,Valencia
15/02/1981,1980-1981,Salamanca,Las Palmas
15/02/1981,1980-1981,Sevilla,Atlético de Madrid
15/02/1981,1980-1981,Valladolid,Sporting de Gijón
15/02/1981,1980-1981,Zaragoza,Osasuna
21/02/1981,1980-1981,Las Palmas,Zaragoza
22/02/1981,1980-1981,Atlético de Madrid,Hércules
22/02/1981,1980-1981,Betis,Barcelona
22/02/1981,1980-1981,Español,Athletic Club
22/02/1981,1980-1981,Sporting de Gijón,AD Almería
22/02/1981,1980-1981,Murcia,Sevilla
22/02/1981,1980-1981,Osasuna,Real Madrid
22/02/1981,1980-1981,Real Sociedad,Salamanca
22/02/1981,1980-1981,Valencia,Valladolid
28/02/1981,1980-1981,Real Madrid,Las Palmas
1/03/1981,1980-1981,AD Almería,Valencia
1/03/1981,1980-1981,Athletic Club,Sporting de Gijón
1/03/1981,1980-1981,Barcelona,Hércules
1/03/1981,1980-1981,Murcia,Atlético de Madrid
1/03/1981,1980-1981,Salamanca,Betis
1/03/1981,1980-1981,Sevilla,Español
1/03/1981,1980-1981,Valladolid,Osasuna
1/03/1981,1980-1981,Zaragoza,Real Sociedad
8/03/1981,1980-1981,Atlético de Madrid,Barcelona
8/03/1981,1980-1981,Betis,Zaragoza
8/03/1981,1980-1981,Español,Murcia
8/03/1981,1980-1981,Sporting de Gijón,Sevilla
8/03/1981,1980-1981,Hércules,Salamanca
8/03/1981,1980-1981,Las Palmas,Valladolid
8/03/1981,1980-1981,Osasuna,AD Almería
