Fecha,Temporada,Equipo1,Equipo2
8/09/1979,1979-1980,Betis,Rayo Vallecano
8/09/1979,1979-1980,Español,AD Almería
8/09/1979,1979-1980,Sporting de Gijón,Sevilla
8/09/1979,1979-1980,Real Sociedad,Las Palmas
9/09/1979,1979-1980,Burgos,CD Málaga
9/09/1979,1979-1980,Hércules,Atlético de Madrid
9/09/1979,1979-1980,Real Madrid,Valencia
9/09/1979,1979-1980,Salamanca,Athletic Club
9/09/1979,1979-1980,Zaragoza,Barcelona
15/09/1979,1979-1980,Athletic Club,Real Sociedad
15/09/1979,1979-1980,Atlético de Madrid,Sporting de Gijón
15/09/1979,1979-1980,Barcelona,Betis
15/09/1979,1979-1980,Las Palmas,Hércules
15/09/1979,1979-1980,CD Málaga,Español
15/09/1979,1979-1980,Valencia,Salamanca
16/09/1979,1979-1980,AD Almería,Zaragoza
16/09/1979,1979-1980,Rayo Vallecano,Real Madrid
16/09/1979,1979-1980,Sevilla,Burgos
22/09/1979,1979-1980,Español,Zaragoza
23/09/1979,1979-1980,Betis,AD Almería
23/09/1979,1979-1980,Burgos,Atlético de Madrid
23/09/1979,1979-1980,Sporting de Gijón,Las Palmas
23/09/1979,1979-1980,Hércules,Athletic Club
23/09/1979,1979-1980,CD Málaga,Sevilla
23/09/1979,1979-1980,Real Sociedad,Valencia
23/09/1979,1979-1980,Real Madrid,Barcelona
23/09/1979,1979-1980,Salamanca,Rayo Vallecano
29/09/1979,1979-1980,Atlético de Madrid,CD Málaga
29/09/1979,1979-1980,Las Palmas,Burgos
29/09/1979,1979-1980,Valencia,Hércules
30/09/1979,1979-1980,AD Almería,Real Madrid
30/09/1979,1979-1980,Athletic Club,Sporting de Gijón
30/09/1979,1979-1980,Barcelona,Salamanca
30/09/1979,1979-1980,Rayo Vallecano,Real Sociedad
30/09/1979,1979-1980,Sevilla,Español
30/09/1979,1979-1980,Zaragoza,Betis
14/10/1979,1979-1980,Burgos,Athletic Club
14/10/1979,1979-1980,Español,Betis
14/10/1979,1979-1980,Sporting de Gijón,Valencia
14/10/1979,1979-1980,Hércules,Rayo Vallecano
14/10/1979,1979-1980,CD Málaga,Las Palmas
14/10/1979,1979-1980,Real Sociedad,Barcelona
